code_path,type,sha256,linked_experiments,link_status,notes
artifacts/importance_best.py,code;config_or_parameter_source;ensemble_script;inference_script,cce55defa3303e3aff1a85635d9db78821fb36eb7d9f34f6e1deed34757a30ad,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e01_schema.py,code,2b5561288c26e5a8c4c64c6047ee538d73830a33ec8e7704b94f8a556ba72254,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e02_structure.py,code;config_or_parameter_source,0b2c413f5959e6150fa8f4d8ade127f90829659c449f86136c8c182c7fbda64d,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e03_submit_forensics.py,code;config_or_parameter_source;inference_script,f0dbd6231a7373a1d65ae233b9ab300069cfea1c21d20c500769546cc9f5a8e2,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e04_hidden_structure.py,code;config_or_parameter_source,9d84965d8b6cd9258adb10665258b38add8eb5596f2ebf03664d3d3205049075,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e05_selection_seasonality.py,code;config_or_parameter_source,b101f48c0c91b33f645a9a5042b46e3cbfbcd58fe0cd3f14ef795d1ffb773094,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e06_panel_logseason.py,code;config_or_parameter_source,ebec37d8fd857ea84dda74d30d2ba78558067d0184c34d5eed6e62940797170b,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e07_blocks_anchor.py,code;config_or_parameter_source;inference_script,d8bf42b3249c7c0d79b634d9cdb8b8e7bb13b50b148fdd45ab7e6dadac7c9c43,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e08_baseline.py,code;config_or_parameter_source;ensemble_script;inference_script;training_script,e90e69f362950f4966055bf5722ea3a8e1e83fe87c1190be06720ee352663e7f,team_a_current:exp_028,linked_to_primary_report,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e09a_calib.py,code;config_or_parameter_source;inference_script;training_script,c77167023eb877f601397f14ca21134e4602d16138e4b383362385fc86833101,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e09b_season.py,code,4d06b31779e10e721dc4b658701f409419600c47283993b020e8143d0dca69a0,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e12_calib_adv.py,code;config_or_parameter_source;feature_generation_script;inference_script;training_script,18e85e72206ec819471512d46072fd995ecd170a33ada757a892030cd97838a7,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e13_capped.py,code;config_or_parameter_source;feature_generation_script;inference_script;training_script,c15e82b8b7ac05190b7cc4a5423dfea2ab953fb7f21768063c0e1e24b105bb9b,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e14_struct_seq.py,code;config_or_parameter_source;ensemble_script;feature_generation_script;inference_script;training_script,3b6176058ea4c56e9891b02dd2db4c0f66a60f418c9305c01598bd4ca61c6c08,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/e15_seq.py,code;config_or_parameter_source;ensemble_script;feature_generation_script;inference_script;training_script,c7e2196daa6994ab0f0cca858687bb40feea5c9de351c546002750b380b29a2e,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/eda/fe.py,code;config_or_parameter_source;feature_generation_script,c2589e67679e4f8f6f8f5ef5cb72d77f2f735c0a968dae4ecd3b31eee1f2a88b,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/rmsle_diagnostics/build_frame.py,code;config_or_parameter_source;ensemble_script;feature_generation_script,df7aea1f7eadc9b70cf9e2a2c575500f18fb602e1731746b94b9949e83325f7a,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/rmsle_diagnostics/diagnose.py,code;config_or_parameter_source,b6594b114fd26b93916dbd48925cee1d21b30586ed43147af52fd730103a8411,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
research/rmsle_diagnostics/plots.py,code;config_or_parameter_source,d6b6f291c265225c7732972fec8c8086826046e0c9baf5668322b1d8f59dc94d,unknown,no_explicit_primary_report_link,An absent explicit link does not prove the script was unused; it is an orphan candidate.
