experiment_id,canonical_name,namespace,role,relationship_to_EXP-037,normalized_primary_delta,folds_positive,folds_total,comparison_class,evidence_strength,independent_renewal:EXP-027,team_a_current:EXP-003,team_a_current:EXP-005,team_a_current:EXP-006,team_a_current:EXP-014,team_a_current:EXP-016,team_a_current:EXP-017,team_a_current:EXP-018,team_a_current:EXP-025,team_a_current:EXP-026,team_a_current:EXP-027,team_a_current:EXP-030,team_a_current:EXP-032,team_a_current:EXP-032B,team_a_current:EXP-035,team_a_current:EXP-036,team_a_current:EXP-037,team_a_current:EXP-038,team_a_current:EXP-040,team_a_current:EXP-047,team_a_current:EXP-049,team_a_current:EXP-051,team_a_current:EXP-059,team_a_current:RUN-S04-LGB,team_a_s2:EXP-010,team_a_s2:EXP-011,team_b_alt:EXP-002,team_b_alt:EXP-004,team_b_alt:EXP-005,team_b_alt:EXP-006,team_b_alt:EXP-008,team_b_alt:EXP-009,team_b_alt:EXP-013,team_b_alt:EXP-016,team_b_alt:EXP-017,team_b_core:EXP-004,team_b_core:EXP-009,team_b_core:EXP-012,team_b_core:EXP-013,team_b_core:EXP-014,team_b_core:EXP-015,team_b_core:EXP-017,team_b_core:EXP-020,team_b_core:EXP-021,team_b_core:EXP-023,team_b_core:EXP-024,team_b_core:EXP-025,team_b_core:EXP-026
independent_renewal:EXP-027,RENEWAL-01 next-purchase clock,independent_renewal,renewal_residual_correction,parallel_pipeline_or_protocol; not_absorbed,-0.0002664138,replacement 4/4; classification AUC loses 4/4,4,independent_renewal:calibrated_temporal_4fold_wcv_1_2_4_8,tier2_machine_artifacts+primary_report,SELF,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-003,S1-E02 dense cutoffs,team_a_current,train_construction_dense_cutoffs,absorbed_or_nested_in_EXP-037,-0.00697,4,4,team_a_current:exp-003:comparability_unconfirmed,high_reported_metrics,U,SELF,N,N,N,C,C,C,N,N,N,C,C,C,N,N,N,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-005,S1-E10 normalized long features,team_a_current,tabular_representation_normalized_long,absorbed_or_nested_in_EXP-037,-0.00194,3,4,team_a_current:exp-005:comparability_unconfirmed,high_reported_metrics,U,N,SELF,N,N,C,C,C,N,N,N,C,C,C,N,N,N,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-006,S1-BEST ensemble,team_a_current,tabular_ensemble,absorbed_or_nested_in_EXP-037,-0.00993,4,4,team_a_current:exp-006:comparability_unconfirmed,high local; LB author-reported and files exist,U,N,N,SELF,N,C,C,C,N,N,N,C,C,C,N,N,N,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-014,S1-DIST distribution head,team_a_current,distribution_head,absorbed_or_nested_in_EXP-037,-0.00071,4,4,team_a_current:exp-014:comparability_unconfirmed,high local; LB author-reported,U,N,N,N,SELF,C,C,C,N,N,N,C,C,C,N,N,N,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-016,Validator calibration and MIX-E11 selection,team_a_current,correlated_weight_search,not_absorbed_or_transfer_unproven,-0.00038,4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,high local; LB author-reported,U,C,C,C,C,SELF,C,C,C,C,C,C,C,C,C,C,C,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-017,E10 capacity/rounds curve,team_a_current,tabular_rounds,not_absorbed_or_transfer_unproven,-0.00067,4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,high,U,C,C,C,C,C,SELF,C,C,C,C,C,C,C,C,C,C,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-018,E10 seed averaging,team_a_current,tabular_seed_average,not_absorbed_or_transfer_unproven,-0.00071,4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,high,U,C,C,C,C,C,C,SELF,C,C,C,C,C,C,C,C,C,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-025,SEQ-01 temporal convolutional encoder,team_a_current,sequence_representation,absorbed_or_nested_in_EXP-037,-0.0011408179078478398,blend 4/4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,machine_artifact_or_run_metric_plus_primary_report,U,N,N,N,N,C,C,C,SELF,N,N,X,X,X,N,N,N,X,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-026,SEQ-AVG2/AVG3 seed averaging,team_a_current,sequence_seed_average,absorbed_or_nested_in_EXP-037,-0.0006005244430032726,blend 4/4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,machine_artifact_or_run_metric_plus_primary_report,U,N,N,N,N,C,C,C,N,SELF,N,C,C,C,N,N,N,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-027,Sequence depth-support failure diagnostic,team_a_current,sequence_depth_policy,absorbed_or_nested_in_EXP-037,-0.00055,4,4,team_a_current:diagnostic_stress_not_ordinary_cv,machine_artifact_or_run_metric_plus_primary_report,U,N,N,N,N,C,C,C,N,N,SELF,C,C,C,N,N,N,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-030,SEQ-D3A depth curriculum,team_a_current,sequence_depth_curriculum,alternative_to_current_component,-0.0007705028609346074,2,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,machine_artifact_or_run_metric_plus_primary_report,U,C,C,C,C,C,C,C,X,C,C,SELF,X,X,C,C,C,X,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-032,S04 conditional fresh sequence pilot,team_a_current,conditional_fresh_sequence,alternative_to_current_component,-0.0012789935992749,4,4,team_a_current:group_a_half_panel_4fold,machine_artifact_or_run_metric_plus_primary_report,U,C,C,C,C,C,C,C,X,C,C,X,SELF,R,C,C,C,X,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-032B,S04 production-DIST conditional fresh extensive,team_a_current,conditional_fresh_sequence,alternative_to_current_component,-0.001009788300943,endpoint-dependent,4,team_a_current:group_a_half_panel_4fold,machine_artifact_or_run_metric_plus_primary_report,U,C,C,C,C,C,C,C,X,C,C,X,R,SELF,C,C,C,X,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
team_a_current:EXP-035,MIX9 sequence-slot comparison,team_a_current,sequence_slot_composition,absorbed_or_nested_in_EXP-037,-0.0005750088191156522,4,4,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,machine_artifact_or_run_metric_plus_primary_report,U,N,N,N,N,C,C,C,N,N,N,C,C,C,SELF,T+,T+,C,A?,A?,A?,A?,A?,C,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
