component_id,pairing_status,experiment_association,matched_run_id,primary_report_reference,link_status,oof_artifacts,test_artifacts,model_artifacts,notes
BLOCK4_SAF,oof_and_test,team_a:exp_039,BLOCK4-SAF,yes,linked_by_artifact_path_association,artifacts/oof_BLOCK4_SAF.npz,artifacts/test_BLOCK4_SAF.npz,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
BLOCK4_SAF_test_raw,test_only,team_a:exp_039,BLOCK4-SAF,no,linked_by_artifact_path_association,unknown,artifacts/BLOCK4_SAF_test_raw.npz,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
BTYD_DAY_BGNBD_EXP047_V2:raw,oof_only,component_family:btyd;team_a:exp_047,BTYD_DAY_BGNBD,yes,linked_by_artifact_path_association,artifacts/BTYD_DAY_BGNBD_EXP047_V2/oof_raw.npz,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
BTYD_STABLE_EXP051:predictive_stability,oof_and_test,component_family:btyd;team_a:exp_051,BTYD_STABLE_EXP051,no,linked_by_artifact_path_association,research/strategies/results/BTYD_STABLE_EXP051/oof_predictive_stability.json,research/strategies/results/BTYD_STABLE_EXP051/test_predictive_stability.json,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
BTYD_STABLE_EXP051:raw,oof_and_test,component_family:btyd;team_a:exp_051,BTYD_STABLE_EXP051,yes,linked_by_artifact_path_association,artifacts/BTYD_STABLE_EXP051/oof_raw.npz,artifacts/BTYD_STABLE_EXP051/test_raw.npz,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
BTYD_STABLE_EXP051:summary,oof_only,component_family:btyd;team_a:exp_051,BTYD_STABLE_EXP051,no,linked_by_artifact_path_association,research/strategies/results/BTYD_STABLE_EXP051/summary_oof.json,unknown,unknown,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
D1-behavior,model_only,independent_domain:exp_028,unknown,no,linked_by_artifact_path_association,unknown,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_D1-behavior.txt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
D1-production,model_only,independent_domain:exp_028,unknown,no,linked_by_artifact_path_association,unknown,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_D1-production.txt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016,model_only,team_a:exp_025,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/model_DETSEQ01-S42-V1016.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016:snapshot_step_00000,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_00000.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016:snapshot_step_00001,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_00001.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
DETSEQ01-S42-V1016:snapshot_step_00100,model_only,component_family:fresh;team_a:exp_025;team_a:exp_044,SEQ-01-S42-V1016,no,linked_by_artifact_path_association,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_00100.pt,Orphan candidate means no mechanical link was recovered; it does not assert the artifact was unused.
