name,kind,path,sha256,rows,unique_user_id,same_order,finite,predict_nonnegative,details
d_A1_TEST.npy,signed_log_correction_vector,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP088_A1_A2_TOMOGRAPHY\d_A1_TEST.npy,052cd46640a119628bc2127cf90c71007aceb8bacff5d3154992e9c6606e6f61,250000,N/A,implicit_TEST_order,True,N/A_signed_vector,"shape=(250000,);dtype=float64"
d_A2_TEST.npy,signed_log_correction_vector,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP088_A1_A2_TOMOGRAPHY\d_A2_TEST.npy,f216c30bebd77cc3e45a6d3a352d217cfc1b9c99b715010a6e14e3d8aa7c63cd,250000,N/A,implicit_TEST_order,True,N/A_signed_vector,"shape=(250000,);dtype=float64"
d_joint_TEST.npy,signed_log_correction_vector,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP088_A1_A2_TOMOGRAPHY\d_joint_TEST.npy,781cd1af72e55d6a411707dc04d47c3c47829a1c88ab74f0f3ba8b14213d1248,250000,N/A,implicit_TEST_order,True,N/A_signed_vector,"shape=(250000,);dtype=float64"
w_robust_TEST.npy,signed_log_correction_vector,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP088_A1_A2_TOMOGRAPHY\w_robust_TEST.npy,ad1f9297621f9b781aacae479c86fd7897ffcd38fa0c24ea633462b85d8a8995,250000,N/A,implicit_TEST_order,True,N/A_signed_vector,"shape=(250000,);dtype=float64"
d_probe_TEST.npy,signed_log_correction_vector,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP088_A1_A2_TOMOGRAPHY\d_probe_TEST.npy,db230c1cdd233949d439829db9c17ef6391a6401f54296a6f9a7f15dc6011b0f,250000,N/A,implicit_TEST_order,True,N/A_signed_vector,"shape=(250000,);dtype=float64"
tomography_vectors.npz,npz_vector_bundle,C:\Users\Admin\Desktop\e-cup-research-clean\research\new_directions\EXP088_A1_A2_TOMOGRAPHY\tomography_vectors.npz,d9f8d35a2f69b5a393a2a2ceb08d185d7a3b10e8b59be0905442b447b41f1706,250000,250000,True,True,N/A_mixed_bundle,keys=user_id|d_A1|d_A2|d_joint|w|u|d_probe|z_base|z_plus_unclipped|z_minus_unclipped|z_plus|z_minus|z_mid_actual|d_effective
SUBMIT_ORTH_ALPHA.csv,scored_submission_csv,C:\Users\Admin\Downloads\SUBMIT_ORTH_ALPHA.csv,9a8adb83e7b34bb6c12b7eb51584d1bf9a93825945d285258d4e1dd991f4b838,250000,250000,True,True,True,"zeros=751;columns=user_id,predict"
SUBMIT_EXP075_JOINT_A1_365_A2.csv,scored_submission_csv,C:\Users\Admin\Desktop\e-cup-research-clean\submissions\SUBMIT_EXP075_JOINT_A1_365_A2.csv,d567d91d66e4d80e28998de6139c48c59f7a607b3f8165c88a1d05259c66c901,250000,250000,True,True,True,"zeros=1219;columns=user_id,predict"
SUBMIT_JOINT_V2.csv,scored_submission_csv,C:\Users\Admin\Desktop\e-cup-research-clean\submissions\SUBMIT_JOINT_V2.csv,211879cb1c79bbbde93d451fca5b61c521b523f989ce42bab62cd3ab87233cba,250000,250000,True,True,True,"zeros=360;columns=user_id,predict"
EXP084_LEVEL_PROBE_P020.csv,scored_submission_csv,C:\Users\Admin\Desktop\e-cup-research-clean\submissions\SUBMIT_EXP084_LEVEL_PROBE_P020.csv,747544497c40fea8687ca2f36a494ba4b2413fedc0f85c204ed5e4e48c8db091,250000,250000,True,True,True,"zeros=0;columns=user_id,predict"
